source_id,timestamp,text,n_comment,url
post_09714d8184611df678e09816c61b8ef4,2025-02-17T14:00:00.000000,"อย่ารอช้า เพราะถ้ามีคอยน์ ไม่ต้องคอยอีกต่อไป!
แลกของรางวัลไม่มีพัก กับของรางวัลมูลค่ารวมกว่า 7 ล้านบาท*
เพียงแค่เข้าแอปฯ Krungthai Next หรือเป๋าตัง
.
จะสายกิน สายช้อป สายเที่ยว หรือสายไหน ปักหมุดด่วน!
วิธีการแลกสิทธิ์
1. เข้าสู่หน้ากิจกรรมผ่าน icon หรือ banner แคมเปญ
2. เลือกการแลก (คูปอง) หรือการลุ้นรางวัลใหญ่
- สายแลกกด “แลกคูปอง” ที่เมนูด้านซ้าย
- สายลุ้นกด “แลกสิทธิ์ ที่เมนูด้านขวา
3. เลือกรายการของแลก/ ลุ้น ที่ต้องการ
4. กดแลกคอยน์
5. ยืนยันสิทธิ์การแลกคอยน์ตามจำนวนที่ระบุ
.
ระยะเวลาร่วมกิจกรรม ตั้งแต่วันที่ 22 ม.ค. 68 - 30 เม.ษ. 68*
แอบกระซิบว่าของรางวัลใหญ่ทริปมูไกลกับอาจารย์คฑา แลกสิทธิ์ลุ้นรอบแรกได้ถึงวันที่ 17 มีนาคมนี้เท่านั้นนะ! 
.
ล่าคอยน์ ผ่านแอปฯ Krungthai NEXT คลิก! https://krungthainext.onelink.me/pfZZ/e1gvyf9y
ล่าคอยน์ผ่านแอปฯ เป๋าตัง คลิก! https://paotang.onelink.me/UDQF/fry7vpru
.
*เงื่อนไขเป็นไปตามที่ธนาคารกำหนด ศึกษาข้อมูลและรายละเอียดการจับรางวัลเพิ่มเติมที่ https://krungthai.com/link/coinmaster2025
.
#ล่าคอยน์สอยรางวัล #KrungthaNext #Paotang",0,https://www.facebook.com/krungthaibank/posts/pfbid02oWg6DE7cVBTCe1yHACDFiDftVt3NcuR5hsQz19hz2wm9f33ivjy7hpMfkVF37xmCl
post_710036a16bc3b74bb44d567339f3544a,2025-02-17T12:17:00.000000,"จะร้านเล็ก หรือร้านใหญ่ พกบัตรนี้ไว้ มีแต่คุ้ม!
ถูกใจพ่อค้า/แม่ค้าแน่นอน กับบัตรเดบิตกรุงไทย เอสเอ็มอี
 ฟรี! ค่าธรรมเนียมการถอน โอน จ่ายบิลที่ตู้ ATM ทั่วไทย*
 พิเศษ! รับ Lotus’s E-Coupons* เพียงสมัครบัตรเดบิตกรุงไทย เอสเอ็มอี ผ่านแอปฯ Krungthai NEXT ระหว่างวันที่ 6 ม.ค. 68 – 28 ก.พ. 68
สมัครเลย คลิก https://info.krungthai.com/JPrA
รายละเอียดเพิ่มเติม คลิก https://krungthai.com/link/sme-debitcard-promo2025-fb
*เงื่อนไขเป็นไปตามที่ธนาคารกำหนด
#Krungthai #กรุงไทย #บัตรเดบิตกรุงไทย #KrungthaiDebitCard #SME",59,https://www.facebook.com/krungthaibank/posts/pfbid02tozTzJJK5bZ4jba1qJoV5yrA5bHftpKTsPdp83goaEJAF9EBKwD7Z6yzVYgar9Vcl
post_6607df5cab3018ee0fcc071e0f591faf,2025-02-16T16:02:00.000000,"งวดประจำวันที่ 16 ก.พ. 68
รางวัลที่ 1 เลขที่ 847377
จำนวนใบที่ถูกทั้งหมด 27 ใบ
รวมเป็นเงินรางวัล 162 ล้านบาท
ถูก 1 ใบ จำนวน 13 คน
ถูก 3 ใบ จำนวน 1 คน
ถูก 11 ใบ จำนวน 1 คน
สลากตัวเลขสามหลัก งวดประจำวันที่ 16 ก.พ. 68
เลขรางวัลสามตรง: 377 รางวัลละ 4,745 บาท
เลขรางวัลสามสลับหลัก: 737 773 รางวัลละ 3,086 บาท
เลขรางวัลสองตรง: 50 รางวัลละ 416 บาท
เลขรางวัลพิเศษ: 377000000432 รางวัลละ 90,967 บาท
ตรวจผลการถูกรางวัลสลากดิจิทัล และสามารถขึ้นรางวัลได้ ผ่านแอปฯ เป๋าตัง
รายละเอียดเพิ่มเติม https://krungthai.com/link/paotang-digital-lottery-facebook
งวดหน้าเริ่มซื้อได้ตั้งแต่ 06.00 - 23.00 น. ของวันถัดไป หลังจากวันออกรางวัล
*เงื่อนไขเป็นไปตามที่สำนักงานสลากกินแบ่งรัฐบาลกำหนด
#Krungthai #กรุงไทย #สลากดิจิทัล #เป๋าตัง",141,https://www.facebook.com/krungthaibank/posts/pfbid03JK83c5ksWSKdaUjSB7Qh7vN4aaLbCVkTwoyejpqekjfbW5jFJAJ87xkGiyvxW27l
post_a25a94d5802f115bcfb55ad11c566d4b,2025-02-15T17:00:00.000000,"พ่อค้าแม่ค้าออนไลน์ ไม่มีบัตรเครดิต ก็ซื้อแอดง่าย ได้ด้วยบัตรเดบิต Krungthai FUN 
ผูกบัตรไว้เลย จ่ายสะดวกไม่สะดุด
สมัคร! บัตรเดบิต Krungthai FUN มีสิทธิ์รับ Starbucks e-Coupon สูงสุด 2,500 บาท
 ตั้งแต่วันที่ 1 ม.ค. 68 - 31 มี.ค. 68
*จำกัดการรับคูปอง 1 สิทธิ์/ท่าน รวม 10,000 สิทธิ์แรกตลอดระยะเวลาโปรโมชัน
*เงื่อนไขเป็นไปตามที่ธนาคารกำหนด
#บัตรเดบิตเพื่อร้านค้าออนไลน์ #ยิงแอดคุ้มกับบัตรเดบิตKrungthaiFUN #KrungthaiNEXT #KrungthaiDebitCard #บัตรเดบิตกรุงไทย #บัตรเดบิตKrungthaiFUN #tiktokการเงิน #บอกต่อ #ติดเทรนด์วันนี้",5,https://www.facebook.com/krungthaibank/videos/484646101146090/
post_5b4554666bdaa7cbbdae6007ca3dbee9,2025-02-15T12:00:00.000000,"ช้อปเพลิน เปย์สบาย คุ้มทุกวัน! 
ใช้บัตร Play ผูก แตะ จ่าย ช้อปได้ทันที!
รับส่วนลดสุดคุ้มทุกวัน 
.
มีเป๋าตังเปย์แล้ว สมัครบัตร Play พร้อมรับ e-Coupon Starbucks 100.- 
 คลิก! >>  https://krungthai.com/link/acqplaycard-missio-nov24-feb25 
.
กดรับโค้ดส่วนลดมากมายได้ที่ #เป๋าตังเปย์ ในแอปฯ เป๋าตังน้า
*เงื่อนไขเป็นไปตามที่ธนาคารกำหนด
#เป๋าตังเปย์ #แอปเป๋าตัง #บัตรPlay #krungthai #กรุงไทย",6,https://www.facebook.com/krungthaibank/posts/pfbid028gYW1oyFeZLxBXvoqaQCDrrpaMBVUYLnM4972bEaPPKtq4igove7w8DExvFUKcP8l
post_8c9d9652e0a57c957a704b9ad1700995,2025-02-15T09:00:00.000000,"วันแห่งความโสด
หลีกทางหน่อยคนโสดจะเดินน
ขอเหตุผลคนละ 1 ข้อ ที่ยังโสดกันหน่อยย",36,https://www.facebook.com/krungthaibank/posts/pfbid02u3rw3GnnpcQWZpxD8MKKQN8UJJFCZA2SG3vCeSuZWAU3yfiYqFZ6o8DfuExr2cCjl
post_79bb4c1fa2651b3e7d1bacb84cbaefe6,2025-02-15T08:17:00.000000,"เกษียณสุข ดูแลตัวเองได้อย่างมั่นใจ 
สินเชื่ออเนกประสงค์ สำหรับข้าราชการบำนาญ
 ดอกเบี้ยพิเศษ ปีแรกคงที่ 3.99% ต่อปี*
 ปีถัดไป สามารถเลือกได้ 2 แบบ แบบที่ 1 ดอกเบี้ย MRR –2.845% (4.60%) ต่อปี** ตลอดอายุสัญญา หรือ แบบที่ 2 ดอกเบี้ยคงที่ 4.60% ต่อปี ตลอดอายุสัญญา
 อนุมัติไวภายใน 1 วัน
 ผ่อนนานสูงสุด 40 ปี
 ไม่จำกัดอายุผู้กู้
 วงเงินกู้สูงสุด 100% ของหนังสือรับรองสิทธิในบำเหน็จตกทอด
 สมัครได้ที่กรุงไทยทุกสาขา 1 ก.พ. 68 – 28 ก.พ. 68
รายละเอียดเพิ่มเติม https://krungthai.com/link/pensionloan-facebook
กู้เท่าที่จำเป็นและชำระคืนไหว
แบบที่ 1 อัตราดอกเบี้ยที่แท้จริงตลอดอายุสัญญาเท่ากับ 4.56% ต่อปี
สมมติฐานการคำนวณจากวงเงินกู้ 1 ล้านบาท อายุสัญญา 40 ปี ผ่อนชำระ 4,900 บาท/เดือน | แบบที่ 2 อัตราดอกเบี้ยที่แท้จริงตลอดอายุสัญญาเท่ากับ 4.56% ต่อปี สมมติฐานการคำนวณจากวงเงินกู้ 1 ล้านบาท อายุสัญญา 40 ปี ผ่อนชำระ 4,600 บาท/เดือน | *สำหรับลูกค้าข้าราชการบำนาญรายใหม่ที่รับเงินบำนาญจากกรมบัญชีกลาง | **อัตราดอกเบี้ยอ้างอิง MRR = 7.445% ต่อปี (ณ วันที่ 1 พ.ย. 67) | อัตราดอกเบี้ยลอยตัวสามารถเปลี่ยนแปลงเพิ่มขึ้นหรือลดลงได้ | เงื่อนไขและหลักเกณฑ์การพิจารณาสินเชื่อเป็นไปตามที่ธนาคารกำหนด
#กรุงไทย #Krungthai #สินเชื่ออเนกประสงค์สำหรับข้าราชการบำนาญ #เกษียณ",148,https://www.facebook.com/krungthaibank/posts/pfbid0RsJgLnLSJpjoKbnamkHiW9CjSjqXpdckZBiiRqekThC1cDVovK2nuE18t8HGvRT5l
post_341d730f6670fca019535e82c036dfca,2025-02-15T06:39:00.000000,"ไม่ว่าจะจ่ายค่าสินค้า ค่าบริการ หรือจัดการค่าใช้จ่ายต่างๆ ก่อนเดินทางไปประกอบพิธีทางศาสนา โอนเงินซาอุฯริยัล(SAR) ได้ง่ายๆ 3 ช่องทาง Krungthai NEXT, Krungthai BUSINESS หรือธนาคารกรุงไทยทุกสาขา
 ปลายทางรับเงินทันใจ หมดกังวลอัตราแลกเปลี่ยน
 รองรับธุรกรรมทั้งโอนเงินเข้าและโอนออก
 ค่าสินค้าหรือบริการที่ยอดเงินต่ำกว่า USD200,000 หรือเทียบเท่าไม่ต้องส่งเอกสารประกอบ ตามประกาศธนาคารแห่งประเทศไทย
สนใจ คลิก https://krungthai.com/link/sar-transfer-fb
หรือ โทร. 02 208 4646
#โอนเงินซาอุฯริยัล(SAR) #GlobalMarkets #Krungthai #กรุงไทย
เงื่อนไขเป็นไปตามที่ธนาคารฯ กำหนด",35,https://www.facebook.com/krungthaibank/posts/pfbid0fvfiMuBoWvnPpoSdYz5Akdwc43eq5roNaUwtg8kCJmnipmgdBwkqe5m4KALcWPgul
post_9aa0869960fd7a423d5f05ebafa25c27,2025-02-14T20:30:00.000000,"KTWC-GROWTH-A กองทุนพอร์ตหลัก สำหรับสายลุย
 กองทุนผสมทั่วโลก Krungthai World Class Series บริหารงานโดย Fidelity International ผู้เชี่ยวชาญการลงทุนระดับโลกที่จะปรับพอร์ตให้เหมาะสมกับทุกสภาวะตลาดและคัดเลือกการลงทุนที่ดีที่สุดในแต่ละประเภทสินทรัพย์จากทั่วโลกมาให้แล้ว
กองทุนนี้เหมาะกับใคร
- นักลงทุนที่รับความเสี่ยงได้สูง เน้นการเติบโตของเงินลงทุน เพื่อความมั่งคั่งในระยะยาว
- เน้นลงทุนระยะยาว 3-7 ปี*
 กรอบการลงทุนเฉลี่ยระยะยาว : ตราสารหนี้ 20% หุ้น 80%*
 ลงทุน https://info.krungthai.com/Ge6q?ref=KTWC-GROWTH-A
 เปิดบัญชี https://info.krungthai.com/rgq8
*ที่มา: KTAM | สัดส่วนการลงทุนเป็นกรอบการลงทุนระยะยาว ซึ่งสัดส่วนการลงทุนสามารถเปลี่ยนแปลงได้ตามดุลยพินิจของผู้จัดการกองทุน
คำเตือน : กองทุนนี้มีความเสี่ยงด้านอัตราแลกเปลี่ยนและไม่ได้ป้องกันความเสี่ยงอัตราแลกเปลี่ยนทั้งจำนวน | ผู้ลงทุนอาจขาดทุนหรือได้รับเงินคืนต่ำกว่าเงินลงทุนเริ่มแรกได้ | ผู้ลงทุนต้องศึกษาและทำความเข้าใจลักษณะสินค้า เงื่อนไขผลตอบแทน ความเสี่ยงก่อนการตัดสินใจลงทุน | ขอรับข้อมูลเพิ่มเติมหรือหนังสือชี้ชวนได้ที่ธนาคารกรุงไทย ทุกสาขา",6,https://www.facebook.com/krungthaibank/posts/pfbid02kstZfhEuhV5s6gSmDGttYWt4eyj8QWJ5rhoNkaXJkmiv4pZCSNBnmd18fv3NiUnrl
post_787f67c93d915814272791ee73670037,2025-02-14T18:30:00.000000,"#ทันมุกทุกมิจ 6 Checklist เซ็นบัตรประชาชนอย่างไรให้ปลอดภัย
เชื่อว่าหลายคนคงเคยได้ยินข่าว การถูกแอบอ้างเอกสารสำคัญไปทำธุรกรรมต่างๆ จนสร้างความเสียหาย โดยเฉพาะสำเนาบัตรประชาชนที่เราต้องใช้บ่อยที่สุด ล่าสุด สคบ. ได้แนะนำวิธีการเซ็นรับรองสำเนาแบบปลอดภัย ที่จะช่วยให้เรายื่นสำเนาบัตรประชาชนได้อย่างมั่นใจ ไม่ต้องกังวลว่าจะถูกนำไปใช้ในทางที่ผิดอีกต่อไป
1. ถ่ายแค่หน้าบัตรเท่านั้น : ไม่ถ่ายหลังบัตรเด็ดขาด เพราะมีรหัส Laser ID ที่ใช้ยืนยันตัวตนในการทำธุรกรรมการเงิน ถ้ารหัสนี้หลุดไปอาจถูกนำไปใช้ในทางที่ผิดได้
2. ขีด 2 เส้นคร่อมบนสำเนาบัตร : ไม่ทับรูปถ่าย เพราะจะทำให้ยากต่อการยืนยันตัวตน ทับเฉพาะข้อมูลที่สำคัญเพื่อป้องกันการปลอมแปลง
3. ระบุการใช้งานให้ชัดเจน : เขียนระหว่างเส้นคร่อม ว่าใช้สำหรับอะไร เช่น ""ใช้สำหรับสมัครงานเท่านั้น"" ป้องกันการนำไปใช้ผิดวัตถุประสงค์
4. ใส่ # หัว-ท้ายประโยค : ป้องกันไม่ให้มีการเติมข้อความเพิ่ม
5. ลงวันที่ให้ชัดเจน : ระบุ วัน/เดือน/ปี ที่เซ็นสำเนา ช่วยกำหนดอายุการใช้งานสำเนา
6. เซ็นรับรองสำเนาให้ถูกต้อง : เขียน ""สำเนาถูกต้อง"" พร้อมเซ็นชื่อทับลงบนตัวบัตรเพื่อความปลอดภัยสูงสุด
ยุคที่มิจฉาชีพพัฒนาไปไกลขึ้น  มีสติทุกครั้ง ป้องกันตัวเองง่ายๆ แค่นี้ อาจช่วยคุณได้มากกว่าที่คิด
""เงินอยู่ในกระเป๋าเรา อย่าปล่อยให้ใครเอาไป กดแชร์เพื่อไม่ให้ใครโดนหลอกอีกต่อไป""
หากลูกค้ากรุงไทยที่มีความเสี่ยงหรือได้รับความเสียหาย สอบถามหรือแจ้งเหตุได้ที่ โทร. 02-111-1111 กด 108 ตลอด 24 ชั่วโมง ด้วยความห่วงใยจากกรุงไทยแคร์
#krungthai #กรุงไทย #ป้องกันมิจฉาชีพ",48,https://www.facebook.com/krungthaibank/posts/pfbid034Ypviy4tHWStZZ75GmAXj1dRJpmqboGnaogV1hrJwPtT2CBfQMojaDto3XfMB7mNl
